epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.8194,1.69626,2.89111,1.37787,0.73453,0.37661,0.41774,0.19784,1.79536,1.93677,1.40351,0.00333008,0.00333008,0.00333008
2,125.118,1.5313,1.56878,1.25834,0.78525,0.48762,0.51081,0.24049,1.8462,1.42759,1.42951,0.00666301,0.00666301,0.00666301
3,183.96,1.56717,1.29367,1.28114,0.76219,0.48866,0.49503,0.23068,1.79854,1.44012,1.4418,0.00999431,0.00999431,0.00999431
4,242.866,1.58989,1.16655,1.3137,0.84417,0.50363,0.55084,0.25634,1.81106,1.31715,1.48501,0.0099945,0.0099945,0.0099945
5,301.881,1.54492,1.0304,1.29028,0.79454,0.51016,0.55049,0.27144,1.76228,1.23409,1.46158,0.00999023,0.00999023,0.00999023
6,360.657,1.50737,0.96693,1.2748,0.83234,0.55694,0.59936,0.30108,1.73133,1.16131,1.46067,0.00998474,0.00998474,0.00998474
7,419.33,1.47358,0.92073,1.25589,0.82679,0.5585,0.61472,0.30418,1.73894,1.09976,1.4678,0.00997803,0.00997803,0.00997803
8,478.146,1.44837,0.88476,1.24681,0.87545,0.58025,0.64577,0.33593,1.66505,1.06877,1.40475,0.00997011,0.00997011,0.00997011
9,536.91,1.43065,0.8599,1.23747,0.86534,0.61081,0.66484,0.34215,1.70248,0.99426,1.42554,0.00996097,0.00996097,0.00996097
10,595.492,1.40886,0.83019,1.226,0.84853,0.58544,0.69123,0.35841,1.68642,0.99236,1.41374,0.00995062,0.00995062,0.00995062
11,654.582,1.39136,0.81744,1.21177,0.86795,0.57418,0.66707,0.34651,1.65563,0.98566,1.401,0.00993906,0.00993906,0.00993906
12,713.186,1.38012,0.80052,1.20525,0.85904,0.60938,0.69477,0.35661,1.68239,0.95477,1.42125,0.00992629,0.00992629,0.00992629
13,771.982,1.35202,0.77618,1.19949,0.87205,0.60026,0.66462,0.3423,1.6546,0.97712,1.39898,0.00991232,0.00991232,0.00991232
14,830.574,1.35278,0.77259,1.1977,0.85797,0.62313,0.69435,0.34755,1.67816,0.95227,1.39876,0.00989715,0.00989715,0.00989715
15,889.221,1.33512,0.76196,1.19177,0.87086,0.58334,0.67936,0.34357,1.65572,0.95467,1.37278,0.00988079,0.00988079,0.00988079
16,948.014,1.32659,0.74707,1.18092,0.87039,0.62235,0.72732,0.37998,1.59333,0.89196,1.33861,0.00986323,0.00986323,0.00986323
17,1006.44,1.32096,0.73888,1.17713,0.89474,0.57959,0.70518,0.36735,1.66486,0.93237,1.38788,0.00984449,0.00984449,0.00984449
18,1065.16,1.31047,0.72766,1.17286,0.88717,0.61063,0.76306,0.39561,1.61679,0.88073,1.3537,0.00982456,0.00982456,0.00982456
19,1124.31,1.30362,0.71665,1.16758,0.8869,0.59759,0.72975,0.3961,1.6078,0.89075,1.36157,0.00980345,0.00980345,0.00980345
20,1183.1,1.30548,0.72457,1.16808,0.8814,0.62395,0.72142,0.3719,1.60569,0.85251,1.35828,0.00978118,0.00978118,0.00978118
21,1241.97,1.29309,0.70945,1.16745,0.85455,0.62619,0.71463,0.37672,1.64236,0.86434,1.36945,0.00975773,0.00975773,0.00975773
22,1300.66,1.28914,0.70515,1.15811,0.66238,0.74391,0.78095,0.41237,1.58555,0.80933,1.34945,0.00973312,0.00973312,0.00973312
23,1359.55,1.26644,0.68747,1.1561,0.64449,0.71672,0.73178,0.38592,1.61516,0.85024,1.36193,0.00970736,0.00970736,0.00970736
24,1418.03,1.27754,0.69214,1.15705,0.89494,0.61122,0.75534,0.401,1.58647,0.85199,1.34553,0.00968045,0.00968045,0.00968045
25,1477.02,1.25843,0.68747,1.14426,0.90877,0.62577,0.77255,0.41886,1.57156,0.82749,1.35228,0.00965239,0.00965239,0.00965239
26,1535.88,1.25258,0.68329,1.14794,0.71598,0.71678,0.76734,0.39587,1.59458,0.81736,1.35189,0.0096232,0.0096232,0.0096232
27,1595.06,1.2567,0.67694,1.14621,0.89328,0.63026,0.76509,0.41203,1.55793,0.80965,1.35275,0.00959289,0.00959289,0.00959289
28,1654,1.24699,0.66322,1.13975,0.69035,0.70358,0.75495,0.4039,1.57807,0.80138,1.35065,0.00956145,0.00956145,0.00956145
29,1712.83,1.23963,0.66227,1.13579,0.80625,0.67625,0.77798,0.43321,1.53851,0.78532,1.31766,0.00952889,0.00952889,0.00952889
30,1771.79,1.24021,0.66345,1.13111,0.72686,0.75671,0.81751,0.44686,1.53631,0.75372,1.3116,0.00949524,0.00949524,0.00949524
31,1830.59,1.22833,0.66031,1.12559,0.7057,0.75607,0.83354,0.45629,1.54614,0.76314,1.34474,0.00946048,0.00946048,0.00946048
32,1889.57,1.22439,0.64968,1.12836,0.77323,0.74891,0.80184,0.42216,1.54954,0.76368,1.34227,0.00942464,0.00942464,0.00942464
33,1948.63,1.22427,0.6508,1.12333,0.74921,0.7382,0.82193,0.44728,1.54916,0.75733,1.32969,0.00938772,0.00938772,0.00938772
34,2007.29,1.21421,0.6401,1.12078,0.76198,0.77188,0.83382,0.45675,1.5487,0.74274,1.3155,0.00934973,0.00934973,0.00934973
35,2066.14,1.21178,0.64178,1.11918,0.71966,0.78194,0.82074,0.45493,1.52318,0.74835,1.32095,0.00931067,0.00931067,0.00931067
36,2125.01,1.19812,0.63449,1.11379,0.87374,0.649,0.78006,0.42889,1.55135,0.77249,1.31802,0.00927057,0.00927057,0.00927057
37,2184,1.20721,0.63356,1.11945,0.84959,0.68068,0.8033,0.43548,1.56164,0.75001,1.324,0.00922942,0.00922942,0.00922942
38,2243.32,1.20518,0.63325,1.11811,0.76145,0.78978,0.84775,0.4644,1.52053,0.74293,1.32254,0.00918725,0.00918725,0.00918725
39,2302.14,1.20159,0.62411,1.11411,0.77194,0.75086,0.8281,0.45249,1.54848,0.72879,1.31902,0.00914405,0.00914405,0.00914405
40,2360.97,1.19464,0.62461,1.11386,0.78298,0.80721,0.86749,0.47312,1.51962,0.69625,1.31933,0.00909984,0.00909984,0.00909984
41,2419.86,1.18299,0.62164,1.10313,0.75644,0.80152,0.84792,0.46543,1.52665,0.70685,1.32132,0.00905463,0.00905463,0.00905463
42,2479.16,1.18286,0.61571,1.10808,0.73184,0.77791,0.84036,0.46655,1.52009,0.7244,1.3206,0.00900844,0.00900844,0.00900844
