epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.154,1.48894,2.18317,0.95999,0.83417,0.68429,0.75536,0.44454,1.17312,0.88427,0.8639,0.00332856,0.00332856,0.00332856
2,91.9078,1.30531,0.97373,0.93223,0.86838,0.74342,0.78666,0.45593,1.12778,0.83943,0.87799,0.00666026,0.00666026,0.00666026
3,133.279,1.30496,0.90709,0.94966,0.80556,0.71419,0.75306,0.42853,1.16826,0.9289,0.8894,0.00998546,0.00998546,0.00998546
4,174.754,1.28066,0.86615,0.95222,0.87472,0.71707,0.79656,0.46442,1.11589,0.87605,0.89043,0.00997803,0.00997803,0.00997803
5,216,1.19637,0.77893,0.93415,0.88545,0.77309,0.82862,0.51726,1.02546,0.75359,0.87,0.00996097,0.00996097,0.00996097
6,257.168,1.15594,0.73415,0.92573,0.85763,0.78869,0.8289,0.52959,0.99641,0.78288,0.86579,0.00993906,0.00993906,0.00993906
7,298.193,1.1139,0.68426,0.91856,0.89827,0.7917,0.83425,0.54348,0.9638,0.70692,0.86343,0.00991232,0.00991232,0.00991232
8,339.789,1.07675,0.64805,0.91124,0.88011,0.79564,0.85354,0.55388,0.94756,0.75687,0.8539,0.00988079,0.00988079,0.00988079
9,381.016,1.0506,0.62521,0.90572,0.89185,0.78506,0.85462,0.56908,0.91383,0.66097,0.85128,0.00984449,0.00984449,0.00984449
10,422.537,1.03691,0.60072,0.90322,0.89059,0.80221,0.85682,0.56416,0.92488,0.62754,0.85141,0.00980345,0.00980345,0.00980345
11,463.8,1.01752,0.5793,0.89759,0.89993,0.80199,0.86275,0.57424,0.90916,0.602,0.84634,0.00975773,0.00975773,0.00975773
12,504.984,0.99968,0.56962,0.89412,0.9035,0.82187,0.86604,0.58201,0.90847,0.67393,0.84995,0.00970736,0.00970736,0.00970736
13,546.6,0.99439,0.5636,0.89333,0.92047,0.82044,0.8692,0.59683,0.88815,0.76564,0.84367,0.00965239,0.00965239,0.00965239
14,587.715,0.98342,0.55082,0.89042,0.91087,0.827,0.87694,0.59414,0.88303,0.65068,0.84446,0.00959289,0.00959289,0.00959289
15,628.984,0.97137,0.54123,0.88907,0.91094,0.81358,0.8684,0.59892,0.86673,0.63128,0.84146,0.00952889,0.00952889,0.00952889
16,670.846,0.96875,0.53856,0.88802,0.90611,0.82797,0.87477,0.59373,0.87016,0.59714,0.84383,0.00946048,0.00946048,0.00946048
17,711.888,0.95832,0.52865,0.88698,0.90331,0.82284,0.87094,0.59842,0.87218,0.5527,0.84045,0.00938772,0.00938772,0.00938772
