epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.3004,2.45781,3.74562,3.03197,0.61889,0.41733,0.38323,0.1681,2.01827,2.19784,2.42448,0.00333008,0.00333008,0.00333008
2,180.036,1.77261,2.05718,2.09329,0.82015,0.48646,0.56154,0.24106,1.87458,1.54847,2.24699,0.00666301,0.00666301,0.00666301
3,272.909,1.70202,1.65865,1.9631,0.81336,0.50587,0.61269,0.28759,1.8083,1.47737,2.16523,0.00999431,0.00999431,0.00999431
4,366.168,1.6655,1.40003,1.90962,0.78241,0.50518,0.55213,0.26125,1.80637,1.46591,2.11486,0.0099945,0.0099945,0.0099945
5,460.085,1.59922,1.21292,1.83246,0.82608,0.53667,0.5653,0.2819,1.80892,1.26994,2.13115,0.00999023,0.00999023,0.00999023
6,553.654,1.56081,1.10408,1.79403,0.84932,0.5324,0.59363,0.30448,1.74118,1.25716,2.05848,0.00998474,0.00998474,0.00998474
7,644.201,1.52596,1.0286,1.75735,0.86004,0.56169,0.61572,0.31675,1.75999,1.14635,2.08744,0.00997803,0.00997803,0.00997803
8,733.044,1.49418,0.9747,1.72485,0.87555,0.58466,0.6413,0.33063,1.70226,1.08489,1.98945,0.00997011,0.00997011,0.00997011
9,820.441,1.47217,0.94193,1.7007,0.87405,0.58103,0.65724,0.33584,1.76837,1.13894,2.02062,0.00996097,0.00996097,0.00996097
10,906.452,1.45199,0.90968,1.68734,0.8404,0.57067,0.63108,0.32114,1.79665,1.1059,2.0448,0.00995062,0.00995062,0.00995062
11,987.537,1.4372,0.88934,1.66094,0.85036,0.60369,0.65857,0.33755,1.7301,0.99763,2.02734,0.00993906,0.00993906,0.00993906
12,1068.54,1.42442,0.86938,1.65602,0.87689,0.61489,0.68957,0.37056,1.6811,0.97725,1.99887,0.00992629,0.00992629,0.00992629
13,1149.55,1.39545,0.84358,1.63336,0.87191,0.62022,0.68035,0.36217,1.64087,0.9885,1.90937,0.00991232,0.00991232,0.00991232
14,1230.69,1.38959,0.83452,1.62589,0.86751,0.60884,0.67204,0.35247,1.68214,0.97806,1.98355,0.00989715,0.00989715,0.00989715
15,1311.61,1.37404,0.82156,1.61115,0.87479,0.59528,0.70239,0.36813,1.67724,0.94419,1.93224,0.00988079,0.00988079,0.00988079
