epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.8679,1.92345,2.63491,1.21275,0.68655,0.32178,0.35322,0.15127,1.89812,1.75822,1.14534,0.00333008,0.00333008,0.00333008
2,81.8119,1.70311,1.42631,1.10898,0.69374,0.37298,0.40419,0.17264,1.88066,1.44529,1.14433,0.00666179,0.00666179,0.00666179
3,119.828,1.73334,1.31149,1.11943,0.71792,0.38785,0.38866,0.16534,1.89233,1.44522,1.1702,0.00998698,0.00998698,0.00998698
4,159.134,1.7471,1.22508,1.12637,0.71803,0.35538,0.38429,0.16586,1.90283,1.33774,1.18305,0.00997803,0.00997803,0.00997803
5,196.957,1.67965,1.08576,1.09948,0.74503,0.41825,0.44558,0.18731,1.86594,1.26691,1.15527,0.00996097,0.00996097,0.00996097
6,233.682,1.63457,1.03253,1.09123,0.7505,0.43617,0.49285,0.23927,1.7801,1.23587,1.12568,0.00993906,0.00993906,0.00993906
7,270.813,1.61214,0.98353,1.0791,0.79648,0.52095,0.56544,0.25445,1.81336,1.13198,1.1424,0.00991232,0.00991232,0.00991232
8,308.008,1.57665,0.94113,1.06483,0.7752,0.52599,0.54316,0.2573,1.7342,1.07881,1.10987,0.00988079,0.00988079,0.00988079
9,345.308,1.55781,0.91599,1.05825,0.79764,0.52227,0.59544,0.27649,1.77395,1.05698,1.11395,0.00984449,0.00984449,0.00984449
10,381.983,1.53368,0.88433,1.05241,0.81203,0.51383,0.5926,0.27703,1.76453,1.10259,1.11673,0.00980345,0.00980345,0.00980345
11,418.449,1.50959,0.88017,1.04126,0.82753,0.5459,0.61836,0.27876,1.74735,0.9773,1.11376,0.00975773,0.00975773,0.00975773
12,455.297,1.50132,0.86245,1.03526,0.79468,0.53301,0.59742,0.29,1.72422,0.97609,1.1046,0.00970736,0.00970736,0.00970736
13,493.346,1.47866,0.83522,1.028,0.81188,0.52846,0.58728,0.29159,1.69205,1.04309,1.09392,0.00965239,0.00965239,0.00965239
14,530.211,1.46803,0.82691,1.02462,0.88043,0.52756,0.63672,0.31465,1.70433,0.93281,1.10221,0.00959289,0.00959289,0.00959289
15,566.709,1.45283,0.80739,1.02318,0.83469,0.56523,0.61605,0.29777,1.74007,0.95759,1.10197,0.00952889,0.00952889,0.00952889
16,603.711,1.44554,0.80517,1.01651,0.8416,0.5761,0.64666,0.31708,1.66347,0.92723,1.07712,0.00946048,0.00946048,0.00946048
17,641.013,1.43911,0.79567,1.0123,0.86374,0.56865,0.65221,0.31695,1.67592,0.92945,1.07671,0.00938772,0.00938772,0.00938772
18,678.386,1.4238,0.78557,1.0156,0.85784,0.57223,0.6568,0.32365,1.6614,0.91193,1.07252,0.00931067,0.00931067,0.00931067
19,715.142,1.41717,0.77206,1.00741,0.86196,0.56221,0.65218,0.32589,1.6527,0.9036,1.07352,0.00922942,0.00922942,0.00922942
20,751.84,1.42144,0.77848,1.00679,0.80278,0.60672,0.66414,0.3342,1.64051,0.89897,1.06885,0.00914405,0.00914405,0.00914405
21,789.601,1.40409,0.76643,1.00229,0.85862,0.57112,0.64907,0.31622,1.71737,0.91742,1.10294,0.00905463,0.00905463,0.00905463
22,826.941,1.40024,0.75919,1.00126,0.71097,0.60656,0.66008,0.32973,1.64616,0.88745,1.08211,0.00896127,0.00896127,0.00896127
23,864.413,1.38057,0.74054,0.99871,0.86511,0.57274,0.68294,0.3327,1.63511,0.86322,1.07195,0.00886404,0.00886404,0.00886404
24,901.71,1.38699,0.74613,0.99504,0.61101,0.59401,0.6196,0.31823,1.63817,0.90423,1.06827,0.00876305,0.00876305,0.00876305
25,939.127,1.37815,0.73685,0.98889,0.87561,0.60198,0.67815,0.34809,1.60987,0.84742,1.05815,0.00865839,0.00865839,0.00865839
26,975.897,1.36833,0.73221,0.99346,0.89393,0.58905,0.69197,0.35202,1.61008,0.83562,1.06589,0.00855018,0.00855018,0.00855018
27,1013.03,1.35913,0.72788,0.9856,0.83824,0.58822,0.6675,0.34397,1.60771,0.83822,1.06919,0.00843851,0.00843851,0.00843851
28,1050.45,1.35409,0.71386,0.98669,0.72855,0.61767,0.66777,0.35027,1.58904,0.82456,1.05711,0.00832349,0.00832349,0.00832349
29,1087.9,1.35003,0.71165,0.98434,0.77019,0.64291,0.69511,0.36332,1.59251,0.81627,1.0509,0.00820525,0.00820525,0.00820525
30,1124.95,1.34638,0.71365,0.98308,0.77376,0.6305,0.68254,0.35355,1.58902,0.81703,1.04997,0.00808389,0.00808389,0.00808389
31,1162.06,1.33561,0.70775,0.97745,0.73401,0.62036,0.68134,0.36279,1.57882,0.81094,1.04663,0.00795954,0.00795954,0.00795954
32,1199.83,1.32693,0.69733,0.97818,0.73704,0.61955,0.68854,0.35977,1.55456,0.80247,1.04282,0.00783231,0.00783231,0.00783231
33,1237.27,1.32321,0.6971,0.97123,0.77546,0.62969,0.6959,0.3692,1.58177,0.79281,1.04187,0.00770234,0.00770234,0.00770234
34,1274.53,1.31894,0.68812,0.97757,0.78339,0.63215,0.69868,0.37061,1.60494,0.79304,1.0457,0.00756976,0.00756976,0.00756976
35,1311.39,1.32181,0.68459,0.97305,0.78314,0.65467,0.72694,0.38205,1.54654,0.76955,1.03238,0.00743468,0.00743468,0.00743468
36,1348.56,1.30363,0.68405,0.96923,0.83095,0.62544,0.71012,0.38021,1.56065,0.78718,1.03943,0.00729725,0.00729725,0.00729725
37,1385.36,1.29679,0.66935,0.97014,0.8448,0.6427,0.71458,0.37323,1.54771,0.79389,1.03992,0.00715761,0.00715761,0.00715761
38,1422.41,1.29523,0.66725,0.96855,0.84327,0.65738,0.72262,0.38914,1.53284,0.76082,1.03616,0.00701588,0.00701588,0.00701588
39,1459.59,1.29914,0.66734,0.96678,0.83481,0.62794,0.71205,0.38186,1.53207,0.78082,1.03066,0.00687222,0.00687222,0.00687222
40,1496.58,1.28467,0.65717,0.96821,0.82188,0.66419,0.73136,0.40042,1.51127,0.75836,1.02838,0.00672675,0.00672675,0.00672675
41,1533.85,1.27561,0.65649,0.96278,0.81079,0.66379,0.72912,0.39733,1.53145,0.75542,1.03676,0.00657963,0.00657963,0.00657963
42,1571.69,1.26914,0.64802,0.9592,0.82565,0.6654,0.73879,0.39919,1.53507,0.76098,1.03472,0.00643101,0.00643101,0.00643101
43,1608.94,1.27066,0.65182,0.96115,0.78048,0.65792,0.7175,0.39197,1.54443,0.75433,1.04311,0.00628101,0.00628101,0.00628101
44,1645.76,1.26044,0.64833,0.95883,0.83894,0.6746,0.7484,0.4101,1.51153,0.74101,1.03211,0.00612981,0.00612981,0.00612981
45,1682.7,1.25048,0.63572,0.95169,0.83138,0.67422,0.74456,0.40713,1.51129,0.74329,1.02675,0.00597754,0.00597754,0.00597754
