epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.961,1.62756,3.7492,1.33503,0.76525,0.45372,0.48542,0.24997,1.70119,1.65812,1.33734,0.00333008,0.00333008,0.00333008
2,229.509,1.44003,1.61142,1.20977,0.81099,0.49736,0.52361,0.25732,1.78339,1.39869,1.43142,0.00666301,0.00666301,0.00666301
3,339.849,1.4633,1.21308,1.23433,0.81664,0.51529,0.62036,0.29317,1.74495,1.31803,1.45476,0.00999431,0.00999431,0.00999431
4,451.193,1.47948,1.10061,1.25614,0.82895,0.50437,0.59263,0.30876,1.75212,1.22594,1.45798,0.0099945,0.0099945,0.0099945
5,562.41,1.43681,0.99497,1.23418,0.8382,0.55491,0.62105,0.32557,1.70001,1.12139,1.45873,0.00999023,0.00999023,0.00999023
6,673.169,1.40039,0.92438,1.21917,0.87414,0.59249,0.65479,0.33912,1.70698,1.06606,1.43116,0.00998474,0.00998474,0.00998474
7,784.092,1.36862,0.883,1.20226,0.8561,0.58962,0.66057,0.33421,1.70673,1.06755,1.43096,0.00997803,0.00997803,0.00997803
8,894.985,1.33173,0.83694,1.18423,0.88025,0.62241,0.74823,0.40477,1.65728,0.95767,1.39502,0.00997011,0.00997011,0.00997011
9,1005.97,1.31871,0.80895,1.17369,0.87945,0.61677,0.70677,0.38448,1.65903,0.96409,1.41076,0.00996097,0.00996097,0.00996097
10,1117.57,1.29651,0.78032,1.16264,0.85357,0.5983,0.6842,0.37092,1.64938,0.99433,1.40754,0.00995062,0.00995062,0.00995062
11,1228.01,1.27499,0.76731,1.14764,0.89012,0.62281,0.73025,0.40083,1.62826,0.89806,1.3923,0.00993906,0.00993906,0.00993906
12,1339.82,1.26364,0.75287,1.14485,0.88221,0.59203,0.76917,0.40792,1.65751,0.8969,1.40949,0.00992629,0.00992629,0.00992629
13,1451.25,1.2441,0.73252,1.13222,0.88648,0.6183,0.73162,0.4024,1.63189,0.92666,1.36334,0.00991232,0.00991232,0.00991232
14,1562.53,1.23616,0.72057,1.12892,0.88569,0.62232,0.74204,0.39302,1.61965,0.87849,1.37488,0.00989715,0.00989715,0.00989715
15,1673.94,1.21988,0.70964,1.12705,0.88214,0.62634,0.76387,0.41142,1.61482,0.87825,1.37862,0.00988079,0.00988079,0.00988079
16,1785.38,1.21024,0.69708,1.11563,0.86099,0.6494,0.7193,0.40407,1.59282,0.87097,1.34908,0.00986323,0.00986323,0.00986323
17,1896.76,1.19847,0.68916,1.11066,0.70367,0.73122,0.8015,0.42927,1.58046,0.83537,1.34242,0.00984449,0.00984449,0.00984449
18,2008.06,1.19304,0.67903,1.10841,0.89525,0.65121,0.79976,0.42652,1.5823,0.81735,1.34228,0.00982456,0.00982456,0.00982456
19,2119.35,1.18408,0.66194,1.09988,0.9046,0.62249,0.78693,0.43896,1.57548,0.82455,1.34332,0.00980345,0.00980345,0.00980345
20,2230.66,1.18554,0.66847,1.10141,0.71446,0.77488,0.82394,0.44455,1.55528,0.78655,1.3269,0.00978118,0.00978118,0.00978118
21,2341.94,1.1686,0.66085,1.09763,0.66807,0.80271,0.82179,0.43486,1.59937,0.78762,1.35109,0.00975773,0.00975773,0.00975773
22,2453.36,1.16653,0.65278,1.09104,0.7289,0.76178,0.81284,0.4455,1.569,0.78039,1.36322,0.00973312,0.00973312,0.00973312
23,2564.71,1.14578,0.63825,1.08807,0.78134,0.79298,0.83354,0.45867,1.5385,0.75703,1.33414,0.00970736,0.00970736,0.00970736
24,2675.99,1.15187,0.64135,1.08871,0.77264,0.71656,0.83594,0.45163,1.56604,0.78532,1.3469,0.00968045,0.00968045,0.00968045
25,2787.27,1.1421,0.63041,1.07945,0.74209,0.79483,0.82911,0.45908,1.53737,0.74504,1.31573,0.00965239,0.00965239,0.00965239
26,2898.59,1.13049,0.62794,1.082,0.73943,0.80006,0.83676,0.4619,1.54873,0.73095,1.33437,0.0096232,0.0096232,0.0096232
27,3009.94,1.13169,0.62462,1.07744,0.75131,0.761,0.81842,0.45963,1.5422,0.76501,1.33265,0.00959289,0.00959289,0.00959289
28,3121.28,1.11888,0.60945,1.06954,0.77454,0.80321,0.85513,0.47792,1.53651,0.71636,1.32181,0.00956145,0.00956145,0.00956145
29,3232.61,1.11874,0.60691,1.06554,0.75424,0.80802,0.85089,0.48525,1.52768,0.72001,1.30889,0.00952889,0.00952889,0.00952889
30,3344.02,1.11461,0.60632,1.06488,0.81365,0.81008,0.85289,0.4836,1.5174,0.6945,1.30166,0.00949524,0.00949524,0.00949524
31,3455.35,1.11127,0.60639,1.06415,0.79417,0.8455,0.87473,0.49057,1.53052,0.70873,1.31102,0.00946048,0.00946048,0.00946048
32,3566.7,1.10436,0.59769,1.06555,0.77879,0.82774,0.86857,0.48073,1.53548,0.70583,1.32333,0.00942464,0.00942464,0.00942464
33,3678.26,1.10196,0.59548,1.05473,0.77975,0.8304,0.86115,0.47993,1.53034,0.69338,1.31748,0.00938772,0.00938772,0.00938772
34,3789.71,1.08907,0.58764,1.05452,0.83833,0.83653,0.87445,0.49078,1.50854,0.68452,1.30911,0.00934973,0.00934973,0.00934973
35,3901.05,1.08139,0.58301,1.05407,0.79917,0.81378,0.8435,0.47599,1.53248,0.70925,1.31898,0.00931067,0.00931067,0.00931067
36,4012.54,1.0772,0.58325,1.0505,0.83794,0.86851,0.8908,0.51259,1.49475,0.66058,1.28508,0.00927057,0.00927057,0.00927057
37,4123.8,1.08265,0.57451,1.05182,0.86171,0.83546,0.89201,0.50118,1.5108,0.6618,1.29794,0.00922942,0.00922942,0.00922942
38,4235.18,1.07408,0.57481,1.04535,0.85463,0.83936,0.88107,0.50254,1.51039,0.6762,1.29956,0.00918725,0.00918725,0.00918725
39,4346.61,1.07611,0.57371,1.04905,0.8686,0.80054,0.885,0.5004,1.51115,0.68933,1.30366,0.00914405,0.00914405,0.00914405
