epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.11,1.54927,1.27007,1.24689,0.76063,0.51132,0.56538,0.2845,1.73031,1.21371,1.34249,0.00041626,0.00041626,0.00041626
2,212.607,1.45502,0.9793,1.17653,0.81761,0.52696,0.62334,0.30585,1.74872,1.14445,1.32476,0.000832113,0.000832113,0.000832113
3,314.778,1.45368,0.96319,1.1756,0.81951,0.53494,0.58562,0.29602,1.76864,1.11639,1.34641,0.00124472,0.00124472,0.00124472
4,416.635,1.42778,0.92427,1.16589,0.85765,0.49119,0.56603,0.28833,1.73422,1.10966,1.30671,0.00123904,0.00123904,0.00123904
5,518.125,1.38539,0.85695,1.14517,0.846,0.57342,0.61533,0.32998,1.67106,1.03178,1.28993,0.00123056,0.00123056,0.00123056
6,620.044,1.35057,0.81175,1.12431,0.61343,0.5801,0.63089,0.34305,1.62671,0.97712,1.26302,0.00121972,0.00121972,0.00121972
7,721.85,1.33041,0.78694,1.11517,0.83415,0.59072,0.68312,0.36059,1.64851,0.94264,1.25971,0.00120655,0.00120655,0.00120655
8,823.881,1.29854,0.74619,1.10507,0.86423,0.61629,0.70428,0.38963,1.59567,0.92076,1.23674,0.00119111,0.00119111,0.00119111
9,925.533,1.27481,0.73325,1.09319,0.84738,0.60545,0.68715,0.36849,1.66704,0.91908,1.28429,0.00117346,0.00117346,0.00117346
10,1027.27,1.25695,0.70984,1.08113,0.7671,0.59191,0.65236,0.37015,1.59084,0.92253,1.22914,0.00115368,0.00115368,0.00115368
11,1129.04,1.23842,0.6895,1.07242,0.82608,0.62751,0.71233,0.399,1.57903,0.86684,1.22713,0.00113183,0.00113183,0.00113183
12,1230.99,1.22468,0.68377,1.06299,0.67396,0.71129,0.76334,0.41258,1.58196,0.81862,1.23473,0.00110801,0.00110801,0.00110801
13,1332.63,1.20712,0.65764,1.06172,0.69679,0.669,0.72475,0.402,1.57174,0.83438,1.21729,0.0010823,0.0010823,0.0010823
14,1434.63,1.18391,0.64741,1.04747,0.89051,0.62442,0.77968,0.42959,1.58382,0.83356,1.22843,0.00105481,0.00105481,0.00105481
15,1536.65,1.17742,0.6269,1.04568,0.85662,0.66013,0.76827,0.43048,1.5471,0.81476,1.20897,0.00102566,0.00102566,0.00102566
16,1638.68,1.16621,0.61886,1.03841,0.82397,0.68373,0.73736,0.41891,1.56496,0.82728,1.22118,0.000994942,0.000994942,0.000994942
17,1740.5,1.13685,0.59739,1.03063,0.69406,0.77552,0.78633,0.42832,1.53238,0.79886,1.20869,0.000962793,0.000962793,0.000962793
18,1842.09,1.12659,0.59509,1.02418,0.87561,0.64516,0.7292,0.41742,1.5362,0.80598,1.21282,0.000929335,0.000929335,0.000929335
19,1943.91,1.11723,0.58052,1.02177,0.72523,0.79275,0.81346,0.45671,1.49633,0.73793,1.1958,0.000894701,0.000894701,0.000894701
20,2045.78,1.11109,0.57036,1.01949,0.72113,0.7927,0.82249,0.45741,1.52699,0.73295,1.20835,0.000859027,0.000859027,0.000859027
21,2147.55,1.09327,0.56226,1.00617,0.71529,0.77425,0.82479,0.47438,1.50094,0.73471,1.2014,0.000822454,0.000822454,0.000822454
22,2249.19,1.07488,0.55267,1.00618,0.73356,0.77848,0.80448,0.46195,1.5121,0.74821,1.19106,0.000785127,0.000785127,0.000785127
23,2351,1.06132,0.54409,0.99905,0.74868,0.79733,0.83516,0.47726,1.50946,0.72426,1.20179,0.000747192,0.000747192,0.000747192
24,2452.79,1.05169,0.53389,0.99558,0.7225,0.75587,0.78255,0.44809,1.50929,0.74413,1.20428,0.0007088,0.0007088,0.0007088
25,2554.65,1.04123,0.5257,0.99037,0.76906,0.84192,0.85238,0.48537,1.49357,0.71215,1.19524,0.000670102,0.000670102,0.000670102
