epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.9692,1.62781,1.88767,1.33807,0.7842,0.48926,0.56252,0.28392,1.71284,1.20314,1.27423,0.00333008,0.00333008,0.00333008
2,181.81,1.39926,0.90223,1.11177,0.75111,0.51543,0.58407,0.28929,1.71652,1.138,1.27445,0.00666179,0.00666179,0.00666179
3,269.816,1.43758,0.94885,1.12356,0.81466,0.51184,0.57533,0.251,1.81252,1.34083,1.33465,0.00998698,0.00998698,0.00998698
4,357.56,1.48022,0.97952,1.1546,0.84151,0.5357,0.59789,0.30701,1.71704,1.10963,1.3028,0.00997803,0.00997803,0.00997803
5,445.479,1.43773,0.90139,1.13642,0.8501,0.5553,0.63008,0.31684,1.68929,1.05561,1.28128,0.00996097,0.00996097,0.00996097
6,533.275,1.40183,0.85859,1.12624,0.85349,0.55674,0.61514,0.3199,1.64422,1.05191,1.24991,0.00993906,0.00993906,0.00993906
7,621.112,1.36983,0.81663,1.11107,0.88449,0.57468,0.66615,0.34263,1.62598,0.96758,1.23389,0.00991232,0.00991232,0.00991232
8,708.844,1.33687,0.78123,1.0929,0.87462,0.61248,0.71482,0.38365,1.60063,0.92568,1.20259,0.00988079,0.00988079,0.00988079
9,796.747,1.31503,0.7555,1.08981,0.85942,0.59785,0.64986,0.34536,1.64016,0.96061,1.25175,0.00984449,0.00984449,0.00984449
10,884.474,1.29076,0.73232,1.07477,0.87565,0.60308,0.66584,0.37009,1.60012,0.94565,1.228,0.00980345,0.00980345,0.00980345
11,972.16,1.27867,0.72028,1.06677,0.87022,0.62688,0.71988,0.39283,1.61302,0.85939,1.22674,0.00975773,0.00975773,0.00975773
12,1059.99,1.25551,0.70154,1.05665,0.67304,0.71058,0.73581,0.39203,1.59951,0.84074,1.22473,0.00970736,0.00970736,0.00970736
13,1147.87,1.23221,0.68336,1.05188,0.81065,0.60977,0.71883,0.39209,1.6218,0.86518,1.24525,0.00965239,0.00965239,0.00965239
14,1235.57,1.22106,0.67213,1.04662,0.83584,0.6534,0.74933,0.39869,1.60749,0.84865,1.22596,0.00959289,0.00959289,0.00959289
15,1323.36,1.20152,0.66166,1.0379,0.74788,0.66246,0.75567,0.41094,1.53531,0.80582,1.1956,0.00952889,0.00952889,0.00952889
16,1411.11,1.19398,0.65284,1.03313,0.7379,0.71111,0.74187,0.41602,1.55597,0.80468,1.19277,0.00946048,0.00946048,0.00946048
17,1499.13,1.18241,0.63754,1.02919,0.7172,0.76169,0.7892,0.4227,1.56346,0.77867,1.20143,0.00938772,0.00938772,0.00938772
18,1586.91,1.17214,0.62878,1.02551,0.62543,0.75327,0.78575,0.41987,1.54431,0.78337,1.20589,0.00931067,0.00931067,0.00931067
